nr	source	title	year	type	author	journal	file	Rigor: Context described	Rigor: Study design described	Rigor: Validity discussed	Level of rigor	Relevance: Subjects	Relevance: Context	Relevance Scale	Relevance: research method	Level of industrial relevance	test model	fault model	tools	Accessibility of tools	implementation techniques	cost metrics	effectiveness metrics	other metrics	threats to validity	Number of threats	Threats	scalability	Theme	comparison of techniques	location for test evaluation (server side, client side, both sides, unspecified)	Evaluation of static vs dynamic	Ajax or synchronous	dataset	accessibility of dataset	keywords	Links	Question	citationKey	Industrial application
1	ACM	Similarity-Based Web Element Localization for Robust Test Automation	2022	article	'Nass, Michel; Al\''{e}groth, Emil; Feldt, Robert; Leotta, Maurizio; Ricca, Filippo'	ACM Trans. Softw. Eng. Methodol 	Nass22	1	1	1	3	0	0	0	0	2	General web testing	broken locators	Similo	https://github.com/michelnass/Similo2	weighted similarities	time efficiancy	ratio between located and non located elements	none	Internal, External	6	Element selection, Choice of locator parameters, Applications and versions testet, choice of web element source, choice of web element types	not discussed	Regression	yes	client side, DOM	both	both	different websites	0	GUI Testing, Test Automation, Test Case Robustness, Web Element Locators, Xpath Locators	To Leotta16	Existing tests don’t longer match the SUT	nassSimilaritybasedWebElement2023	1
2	IEEE	Tapir: Automation Support of Exploratory Testing Using Model Reconstruction of the System Under Test	2018	article	Bures,M; Frajtak, K; Ahmed, B.S.	IEEE TRANSACTIONS ON RELIABILITY	Bures18	1	1	1	3	1	1	1	0	2	Exploration Testing	Navigation/Functionality	Tapir	https://www.tapir-test.io/	On the fly model generation 	time efficiancy	number explored pages, links and action elements	20 different	Internal, External	5	Are defects found easily?, flaws in manual defect reporting, idle time while manual testing, different expertise of manual testers, size of testet applications	not discussed	Support, Exploration testing	with manual testing	client side	both	both	MantisBT	1	Functional testing, generation of test cases from model, model reengineering, model-based testing, system under test model, web applications testing		Generating Test Models	buresTapirAutomationSupport2018	0
3	WebOfScience	Configuring effective navigation models and abstract test cases for web applications by analysing user behaviour	2013	Article	Sprenkle, Sara E.; Pollock, Lori L.; Simko, Lucy M.	SOFTWARE TESTING VERIFICATION & RELIABILITY	Sprenkle13	1	1	1	3	1	0	1	0	3	User session based testing	Navigation/Functionality			N-gram Markov model	model size	test sequence coverage	number of user sessions	Internal, External	3	Choice of test applications, not complete code coverage of sessions, parameter choice	not discussed	Session based testing	no	client side	both	both	Masplas,Book,CPM,Logic, Logicv2, DSpace	0	web application testing; statistical; usage-based navigation models		Generating Test Models	sprenkleConfiguringEffectiveNavigation2013	0
4	WebOfScience	Robula plus : an algorithm for generating robust XPath locators for web testing	2016	Article	Leotta, Maurizio; Stocco, Andrea; Ricca, Filippo; Tonella, Paolo	JOURNAL OF SOFTWARE-EVOLUTION AND PROCESS	Leotta16	1	1	1	3	0	0	1	0	3	Model based testing	broken locators	Robula+	https://github.com/cyluxx/robula-plus	transformation of x-path strings	time efficiancy	robustness(percentage of located elements)	none	Internal, External	6	Choice of test applications and versions, selection of target elements, choice of comparison techniques, conversion implementation, possible alternative strategies for comparison	not discussed	Regression	yes	client side, DOM	both	both	MantisBT,PPMA,Claroline,AddressBook,MRBS,Collabtive,TikiWiki,OrangeHRM	1	Web Testing; Test Cases Fragility; Robust XPath Locator; Maintenance Effort Reduction; DOM Selector		Existing tests don’t longer match the SUT	leottaRobulaAlgorithmGenerating2016	0
5	WebOfScience	Leveraging keyword-guided exploration to build test models for web applications	2019	Article	Qi, Xiao-Fang; Hua, Yun-Long; Wang, Peng; Wang, Zi-Yuan	INFORMATION AND SOFTWARE TECHNOLOGY	Qi19	1	1	1	3	0	0	1	0	2	Exploration Testing	Navigation/Functionality	KeyJax	no	Word embeddings	model size, time efficiancy	functional coverage	code coverage, path diversity, Dom diversity,	Internal, External	3	choice of parameters, choice of keywords, choice of test applications,	not discussed	Model based	yes	Both server and client, DOM	both	both	Dream,PromonKey,PersonManager,Exam,Domitory,Eshop,Nucleus,Wordpress,PhPMyAdmin	1	Web apps Model generation Software testing Coverage Automated testing		Generating Test Models	qiLeveragingKeywordguidedExploration2019a	0
6	WebOfScience	Model-based testing leveraged for automated web tests	2022	Article	Mattiello, Guilherme Ricken; Endo, Andre Takeshi	SOFTWARE QUALITY JOURNAL	Matiello22	1	1	1	3	0	0	1	0	2	Model based testing	Navigation/Functionality	MoLeWe	https://github.com/guimattiello/MoLeWe	Page Objects	time efficiancy	code coverage	none	Internal, External	5	support only for Page objects, choice of test applications, code coverage only on server side, choice of test subjects, restriction of generated tests	not discussed	Model based	with manual testing	Both server and client, DOM	both	both	PetClinic, Akaunting,Attendize,sysPass,Firefly,Laravel-Gymie,Luchee,Mapos,MediaWiki,OpenCart	1	Model-based testing, Automated tests, Test case generation, Page objects, GUI tests		Generating Test Models	mattielloModelbasedTestingLeveraged2022	0
7	WebOfScience	Fostering the diversity of exploratory testing in web applications	2022	Article	Leveau, Julien; Blanc, Xavier; Reveillere, Laurent; Falleri, Jean-Remy; Rouvoy, Romain	SOFTWARE TESTING VERIFICATION & RELIABILITY	Leveo22	1	1	1	3	0	0	0	0	2	Exploration Testing	Navigation/Functionality				_	Exploration tree depth and width	none	Internal, External	4	choice of manual tester group size, choice of test subjects, choice of test applications, choice of usage time (10min)	not discussed	Support, Exploration testing	without tool	client side, DOM	both	both	Cdiscount	0	test, exploratory test, n-gram, web applications		How to make exploration testing more easy	leveauFosteringDiversityExploratory2020	1
8	WebOfScience	An efficient regression testing approach for PHP Web applications using test selection and reusable constraints	2019	Article	Eda, Ravi; Do, Hyunsook	SOFTWARE QUALITY JOURNAL	Eda19	1	1	1	3	0	0	1	0	2	General web testing	_	PARTE	_	AST test generation	time efficiancy	time efficiancy, reuse of tests	none	Internal, External	4	implementation of test tool, choice of test applications, test case represenativeness, choice of changes (mutations)	not discussed	Regression	no	server side, PHP	both	both	Mantisbt, Mambo, phpScheduleIt, log4php	1	Regression testing, Test selection, Test reuse, PHP Web applications, Empirical studies		Existing tests don’t longer match the SUT	edaEfficientRegressionTesting2019	0
9	WebOfScience	Using combinatorial testing to build navigation graphs for dynamic web applications	2016	Article	Wang, Wenhua; Sampath, Sreedevi; Lei, Yu; Kacker, Raghu; Kuhn, Richard; Lawrence, James	SOFTWARE TESTING VERIFICATION & RELIABILITY	Wang16	1	1	1	3	0	0	1	0	2	Model based testing	Navigation/Functionality	Tansuo	_	combinational testing	time efficiancy, memory efficiency	code coverage	none	Internal, External	2	choice of test applications, choice of parameters	not discussed	Model based	no	server side, PHP	both	both	Bookstore,BugTrack,Classifieds,Events, Links,Portal, Taskman	1	navigation graph generation; web application testing; combinatorial testing; software testing		Running Tests is slow	wangUsingCombinatorialTesting2016	0
10	WebOfScience	Parallel evolutionary test case generation for web applications	2023	Article	Wang, Weiwei; Wu, Shumei; Li, Zheng; Zhao, Ruilian	INFORMATION AND SOFTWARE TECHNOLOGY	Wang23	1	1	1	3	0	0	1	0	2	Model based testing	Navigation/Functionality			evolutionary algorithms	time efficiancy	time efficiancy	none	Internal, External	3	choice of test applications, implementation of method, randomness of generic algorithms	not discussed	Other	no	Both server and client, DOM	both	both	AddressBook, WebChess,PhpaaCms, OpenConf,SchoolMate, FAQForge	1	Web applications, Test case generation, Parallelization, Evolutionary algorithms		Running Tests is slow	wangParallelEvolutionaryTest2023a	0
